uuid,commodity_name,country,market,price_type,unit
7733a2e3-a221-463b-94b8-4d123502ab90,Maize (white),Burundi,Bujumbura Rural,RETAIL,Kg
7c925957-d4dc-4a69-9587-2d7d59bf018e,Beans,Burundi,Bujumbura Rural,RETAIL,Kg
7da11507-7f83-473a-8ec3-4809117f8a94,Vegetable oil,Burundi,National Average,RETAIL,Kg
84a821df-0b7f-42f8-9575-43b34fb69d29,Beans,Burundi,National Average,RETAIL,Kg
85c21c8e-dd82-4ee5-be24-51b1fdbdf514,Cassava (flour),Burundi,Bujumbura Rural,RETAIL,Kg
8eec8359-5533-46ea-80b9-a094dc529cf0,Maize (white),Burundi,Gitega,RETAIL,Kg
a6db3823-3375-4151-b849-06db15ad9573,Rice (low quality),Burundi,National Average,RETAIL,Kg
ad2f6d5e-1e96-4e05-82d6-617ab1ede643,Rice (low quality),Burundi,Bujumbura Mairie,RETAIL,Kg
b5e40f73-472e-4db3-a2cb-f2c00ef8944d,Cassava (flour),Burundi,Gitega,RETAIL,Kg
b7116f9b-9a47-41d6-867c-2e48bee7e7a4,Vegetable oil,Burundi,Bujumbura Rural,RETAIL,Kg
c2c09e59-f028-4e8f-9197-eda91b935609,Rice (low quality),Burundi,Kirundo,RETAIL,Kg
d465c849-9079-46b3-8ad1-0cd6706433ad,Maize (white),Burundi,Bujumbura Mairie,RETAIL,Kg
d815c858-bdd9-4baf-9e78-eb05104ab4a2,Beans,Burundi,Gitega,RETAIL,Kg
d93a6b8f-0e47-481b-a235-f7987d072730,Potatoes (sweet),Burundi,Gitega,RETAIL,Kg
deba7ef4-14fa-4111-ad70-e80fc684f551,Beans,Burundi,Bujumbura Mairie,RETAIL,Kg
ed89e2e1-cd31-45e8-8aef-7bfcacdf1394,Maize (white),Burundi,Kirundo,RETAIL,Kg
f86b1b01-b963-4a50-be1e-cebbe58d398b,Beans,Burundi,Kirundo,RETAIL,Kg
fdad0567-3623-40d0-93e2-b02b5e0a8d4a,Potatoes (sweet),Burundi,National Average,RETAIL,Kg
71231dbe-6b04-42a4-a67a-bc132cd43367,Chicken (whole),Belgium,National Average,WHOLESALE,100 kg
96e1f105-5c12-4618-a943-abc7c168b960,Milk (raw),Belgium,National Average,WHOLESALE,100 kg
eaaa78fd-a0e0-41f1-8013-7f1b842fe696,Eggs,Belgium,National Average,WHOLESALE,100 kg
061d5717-fc64-470b-bd1d-be1a151afc36,Sorghum,Benin,Cotonou,RETAIL,Kg
221c72b0-2956-483d-97c8-27c9e65264ee,Rice,Benin,Natitingou,RETAIL,Kg
3a7bf7f4-e19d-495b-b3ca-4c86b3389525,Cassava (gari),Benin,Natitingou,RETAIL,Kg
69ad34fb-86fa-4fa0-a4a0-888e7e2f1167,Maize,Benin,Parakou,RETAIL,Kg
6d90751f-816d-4a08-9b75-7895a625097a,Sorghum,Benin,Parakou,RETAIL,Kg
7905cac9-1cd6-4c13-ad12-dfe60fb572c6,Cassava (gari),Benin,Parakou,RETAIL,Kg
96ca0d4b-bb7d-4f2e-8889-0d8c2b4fb66c,Yam,Benin,Natitingou,RETAIL,Kg
9a7800b1-7b4f-4786-b2e6-9905befeea9a,Maize,Benin,Natitingou,RETAIL,Kg
a139b289-17cc-47f3-8fd4-d145beb704dc,Maize,Benin,Cotonou,RETAIL,Kg
b22cd5e1-3277-4236-a7c7-57d34238bcdc,Sorghum,Benin,Natitingou,RETAIL,Kg
bcdb37fc-13c7-43ae-8065-c563625ec9ef,Cassava (gari),Benin,Cotonou,RETAIL,Kg
bcf625a5-93d0-4000-9fc1-39e123fba040,Rice,Benin,Cotonou,RETAIL,Kg
cf4caefc-5705-4b42-8f6b-17addf38c576,Rice,Benin,Parakou,RETAIL,Kg
f5bfb428-8538-4a3c-ad5f-2a401a5c9318,Yam,Benin,Parakou,RETAIL,Kg
f8fffedb-0e97-4529-9fce-e3e4aedb9a0c,Yam,Benin,Cotonou,RETAIL,Kg
